"ENTREZID","SYMBOL"
"101927043","EPCAM-DT"
"27248","ERLEC1"
"6711","SPTBN1"
"57142","RTN4"
"130162","CLHC1"
"9792","SERTAD2"
"23177","CEP68"
"4084","MXD1"
"1639","DCTN1"
"7841","MOGS"
"84759","PCGF1"
"105374813","LOC105374813"
"284948","SH2D6"
"64969","MRPS5"
"400986","ANKRD36C"
"23397","NCAPH"
"93082","NEURL3"
"55683","KANSL3"
"200539","ANKRD23"
"54910","SEMA4C"
"375248","ANKRD36"
"11138","TBC1D8"
"102682016","LINC01159"
"23550","PSD4"
"124907875","LOC124907875"
"84771","DDX11L2"
"7247","TSN"
"79595","SAP130"
"55777","MBD5"
"2820","GPD2"
"29994","BAZ2B"
"440925","LINC01124"
"254042","METAP1D"
"105373742","LOC105373742"
"6670","SP3"
"4780","NFE2L2"
"101927217","LINC01473"
"84281","AKAP19"
"4430","MYO1B"
"9262","STK17B"
"25843","MOB4"
"7855","FZD5"
"389072","PLEKHM3"
"100507475","IDH1-AS1"
"55825","PECR"
"100507554","RPL37A-DT"
"100422957","MIR3131"
"27013","CNPPD1"
"10058","ABCB6"
"79411","GLB1L"
"2181","ACSL3"
"84236","RHBDD1"
"4691","NCL"
"64708","COPS7B"
"129563","DIS3L2"
"100847037","MIR5001"
"389084","SNORC"
"55054","ATG16L1"
"105373951","COPS8-DT"
"51540","SCLY"
"55502","HES6"
"112268433","LOC112268433"
"51665","ASB1"
"101928111","HDAC4-AS1"
"4705","NDUFA10"
"150678","COPS9"
"130916","MTERF4"
"4735","SEPTIN2"
"1841","DTYMK"
"84289","ING5"
"728294","D2HGDH"
"57761","TRIB3"
"105372493","LOC105372493"
"55968","NSFL1C"
"140901","STK35"
"6628","SNRPB"
"65992","DDRGK1"
"8455","ATRN"
"994","CDC25B"
"55317","AP5S1"
"54498","SMOX"
"29058","TMEM230"
"5111","PCNA"
"100131208","SNAP25-AS1"
"124904875","LOC124904875"
"6629","SNRPB2"
"57325","KAT14"
"10741","RBBP9"
"64412","GZF1"
"1471","CST3"
"955","ENTPD6"
"5834","PYGB"
"105372582","LOC105372582"
"81502","HM13"
"149951","COMMD7"
"1789","DNMT3B"
"124904890","LOC124904890"
"101926888","RALY-AS1"
"191","AHCY"
"128869","PIGU"
"55902","ACSS2"
"2937","GSS"
"10137","RBM12"
"140823","ROMO1"
